,Unnamed: 0,Age,Job,Marital Status,Education,Credit,Balance,Housing Loan,Personal Loan,Telphone only,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign Freq,Lag in days,Previous Freq,Previous outcome,Accepted Offer?
21370,21370,61,retired,married,primary,no,0,yes,yes,telephone,18,aug,280,13,-1,0,unknown,No
29158,29158,83,retired,married,primary,no,425,no,no,telephone,2,feb,912,1,-1,0,unknown,No
29221,29221,61,housemaid,single,unknown,no,893,no,no,telephone,2,feb,324,1,-1,0,unknown,No
29382,29382,65,retired,married,primary,no,1343,no,no,telephone,2,feb,468,2,-1,0,unknown,No
29610,29610,69,retired,married,primary,no,2713,no,no,telephone,3,feb,32,1,-1,0,unknown,No
30176,30176,69,management,married,tertiary,no,840,no,no,telephone,5,feb,128,3,-1,0,unknown,Yes
30488,30488,64,management,married,tertiary,no,6251,no,no,telephone,5,feb,125,7,-1,0,unknown,No
30600,30600,61,retired,married,primary,no,3738,no,no,telephone,6,feb,188,1,-1,0,unknown,No
30696,30696,67,retired,single,primary,no,491,no,no,telephone,6,feb,110,1,-1,0,unknown,No
30908,30908,76,retired,married,primary,no,2590,no,no,telephone,9,feb,68,12,-1,0,unknown,No
31018,31018,66,unemployed,single,primary,no,1323,no,no,telephone,10,feb,207,11,-1,0,unknown,No
31051,31051,83,retired,single,primary,no,3349,no,no,telephone,12,feb,89,1,-1,0,unknown,No
31052,31052,71,retired,married,unknown,no,362,no,no,telephone,12,feb,139,2,-1,0,unknown,No
31055,31055,85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,-1,0,unknown,Yes
31094,31094,63,retired,married,secondary,no,1612,no,no,telephone,17,feb,233,2,-1,0,unknown,Yes
31101,31101,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,unknown,Yes
31102,31102,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,-1,0,unknown,Yes
31121,31121,61,technician,married,tertiary,no,1263,no,no,telephone,18,feb,176,4,-1,0,unknown,No
31145,31145,80,retired,married,primary,no,1021,no,no,telephone,26,feb,37,1,-1,0,unknown,No
31149,31149,71,retired,married,tertiary,no,653,no,no,telephone,26,feb,367,1,-1,0,unknown,Yes
31150,31150,62,housemaid,married,unknown,no,2021,no,no,telephone,26,feb,361,1,-1,0,unknown,Yes
31151,31151,78,retired,married,primary,no,2735,no,no,telephone,26,feb,418,2,-1,0,unknown,No
31189,31189,75,retired,married,secondary,no,1470,no,no,telephone,27,feb,49,1,-1,0,unknown,No
31209,31209,62,unknown,married,secondary,no,367,no,no,telephone,2,mar,139,5,-1,0,unknown,No
31249,31249,68,retired,married,secondary,no,1316,no,no,telephone,4,mar,92,5,-1,0,unknown,No
31261,31261,83,retired,divorced,primary,no,1097,no,no,telephone,5,mar,181,1,-1,0,unknown,Yes
31285,31285,79,retired,married,secondary,no,8304,no,no,telephone,9,mar,303,9,-1,0,unknown,Yes
31341,31341,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,No
31345,31345,62,self-employed,married,tertiary,no,4886,yes,no,telephone,16,mar,44,1,-1,0,unknown,No
31414,31414,77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,Yes
31428,31428,69,retired,married,unknown,no,647,no,no,telephone,27,mar,199,1,-1,0,unknown,No
31447,31447,73,retired,divorced,primary,no,2308,no,no,telephone,30,mar,163,2,-1,0,unknown,Yes
31527,31527,74,housemaid,married,unknown,no,161,no,no,telephone,2,apr,240,1,-1,0,unknown,No
31566,31566,68,retired,married,secondary,no,3588,no,no,telephone,3,apr,119,1,-1,0,unknown,No
31771,31771,65,retired,married,secondary,no,20806,no,no,telephone,8,apr,523,2,-1,0,unknown,Yes
31795,31795,68,retired,married,primary,no,1759,no,no,telephone,8,apr,185,1,-1,0,unknown,No
32009,32009,80,retired,married,primary,no,1861,no,no,telephone,14,apr,563,2,-1,0,unknown,No
32032,32032,82,housemaid,married,primary,no,2140,no,no,telephone,14,apr,118,6,-1,0,unknown,No
32048,32048,65,management,married,secondary,no,5251,no,no,telephone,14,apr,226,5,-1,0,unknown,No
32074,32074,78,retired,divorced,unknown,no,2628,no,no,telephone,14,apr,129,2,-1,0,unknown,No
32089,32089,78,unknown,married,unknown,no,2235,no,no,telephone,14,apr,300,3,-1,0,unknown,Yes
32160,32160,76,housemaid,divorced,primary,no,1411,no,no,telephone,15,apr,170,3,-1,0,unknown,Yes
32183,32183,69,retired,married,secondary,no,21446,no,no,telephone,15,apr,358,2,-1,0,unknown,No
32204,32204,72,retired,married,secondary,no,4269,no,no,telephone,16,apr,122,3,-1,0,unknown,No
32321,32321,74,retired,married,secondary,no,3771,no,no,telephone,16,apr,159,1,-1,0,unknown,No
32447,32447,66,retired,married,tertiary,no,525,no,no,telephone,16,apr,287,1,-1,0,unknown,No
32451,32451,77,retired,divorced,primary,no,639,no,no,telephone,16,apr,127,7,-1,0,unknown,No
32689,32689,74,management,married,tertiary,no,4515,no,no,telephone,17,apr,1161,5,-1,0,unknown,No
32699,32699,79,retired,married,primary,no,3481,no,no,telephone,17,apr,82,4,-1,0,unknown,No
32802,32802,71,retired,married,primary,no,2988,no,no,telephone,17,apr,130,1,-1,0,unknown,Yes
33017,33017,74,retired,married,secondary,no,921,no,no,telephone,17,apr,394,2,-1,0,unknown,Yes
33257,33257,66,retired,married,primary,no,711,no,no,telephone,20,apr,137,5,-1,0,unknown,No
33262,33262,70,retired,married,secondary,no,2575,no,no,telephone,20,apr,216,2,-1,0,unknown,Yes
33698,33698,63,retired,married,unknown,no,2193,no,no,telephone,21,apr,1348,4,-1,0,unknown,Yes
33699,33699,95,retired,divorced,primary,no,2282,no,no,telephone,21,apr,207,17,-1,0,unknown,Yes
33700,33700,65,retired,married,tertiary,no,1973,no,no,telephone,21,apr,396,3,-1,0,unknown,Yes
33710,33710,71,retired,married,tertiary,no,1486,no,no,telephone,21,apr,110,3,-1,0,unknown,No
33717,33717,67,retired,single,tertiary,no,2144,no,no,telephone,21,apr,847,2,-1,0,unknown,Yes
33719,33719,78,retired,married,primary,no,8556,no,no,telephone,21,apr,137,2,-1,0,unknown,Yes
33729,33729,71,retired,divorced,tertiary,no,780,no,no,telephone,22,apr,220,1,-1,0,unknown,No
33731,33731,66,blue-collar,married,primary,no,2552,no,no,telephone,22,apr,186,4,-1,0,unknown,No
33740,33740,64,technician,married,tertiary,no,826,no,no,telephone,22,apr,101,1,-1,0,unknown,No
33741,33741,64,management,married,tertiary,no,679,no,no,telephone,22,apr,135,3,-1,0,unknown,No
33766,33766,82,retired,married,unknown,no,211,no,no,telephone,22,apr,195,3,-1,0,unknown,No
33777,33777,81,retired,married,primary,no,122,no,no,telephone,23,apr,201,1,-1,0,unknown,No
33780,33780,76,management,married,unknown,no,1780,yes,no,telephone,23,apr,413,3,-1,0,unknown,Yes
33784,33784,62,unemployed,married,secondary,no,1625,no,no,telephone,23,apr,155,1,-1,0,unknown,No
33791,33791,67,retired,single,tertiary,no,3377,no,no,telephone,23,apr,77,2,-1,0,unknown,No
33846,33846,77,retired,married,secondary,no,1208,no,no,telephone,28,apr,72,4,-1,0,unknown,No
33856,33856,62,blue-collar,married,primary,no,115,no,no,telephone,29,apr,75,3,-1,0,unknown,No
33860,33860,73,retired,married,primary,no,542,no,no,telephone,29,apr,107,5,-1,0,unknown,No
34121,34121,70,technician,married,secondary,no,3020,no,no,telephone,30,apr,56,1,-1,0,unknown,No
34244,34244,67,retired,married,unknown,no,696,no,no,telephone,4,may,77,2,-1,0,unknown,No
34337,34337,63,management,married,unknown,no,2352,no,no,telephone,4,may,475,7,-1,0,unknown,Yes
40363,40363,83,retired,married,primary,no,425,no,no,telephone,22,jun,883,1,140,1,failure,Yes
40374,40374,79,retired,married,secondary,no,723,no,no,telephone,22,jun,295,3,-1,0,unknown,No
40402,40402,78,retired,divorced,primary,no,2787,no,no,telephone,1,jul,372,1,-1,0,unknown,Yes
40412,40412,79,retired,married,secondary,no,668,no,no,telephone,2,jul,363,1,-1,0,unknown,Yes
40524,40524,79,retired,married,primary,no,429,no,no,telephone,8,jul,1006,2,-1,0,unknown,Yes
40535,40535,63,housemaid,married,primary,no,3173,no,no,telephone,8,jul,154,1,-1,0,unknown,No
40538,40538,79,retired,married,unknown,no,0,no,no,telephone,8,jul,167,1,-1,0,unknown,No
40558,40558,67,admin.,married,primary,no,1093,no,no,telephone,8,jul,64,3,-1,0,unknown,No
40561,40561,79,retired,married,secondary,no,4738,no,no,telephone,9,jul,151,5,-1,0,unknown,No
40571,40571,75,retired,married,secondary,no,26452,no,no,telephone,15,jul,219,2,-1,0,unknown,No
40578,40578,61,unknown,single,primary,no,50,no,no,telephone,21,jul,465,6,-1,0,unknown,No
40584,40584,72,management,married,tertiary,no,7003,no,no,telephone,24,jul,116,3,-1,0,unknown,No
40586,40586,71,retired,single,tertiary,no,1285,no,no,telephone,27,jul,195,2,-1,0,unknown,No
40595,40595,75,retired,married,primary,no,5491,no,no,telephone,28,jul,258,6,-1,0,unknown,No
40597,40597,61,blue-collar,married,primary,no,7879,no,no,telephone,28,jul,186,9,-1,0,unknown,No
40619,40619,66,retired,married,primary,no,12767,no,no,telephone,4,aug,117,2,-1,0,unknown,No
40645,40645,75,blue-collar,married,secondary,no,6053,no,no,telephone,5,aug,416,1,-1,0,unknown,No
40653,40653,61,management,married,tertiary,no,175,no,no,telephone,5,aug,270,2,-1,0,unknown,Yes
40676,40676,73,retired,married,primary,no,5539,no,no,telephone,6,aug,338,1,-1,0,unknown,Yes
40679,40679,65,unknown,married,unknown,no,4717,no,no,telephone,6,aug,256,1,-1,0,unknown,Yes
40712,40712,79,retired,married,secondary,no,2354,no,no,telephone,7,aug,121,2,-1,0,unknown,No
40737,40737,63,management,married,tertiary,no,5112,no,no,telephone,10,aug,255,3,-1,0,unknown,No
40759,40759,80,retired,married,unknown,no,355,no,no,telephone,10,aug,156,1,-1,0,unknown,No
40766,40766,71,retired,married,primary,no,10394,no,no,telephone,10,aug,411,1,-1,0,unknown,No
40770,40770,62,retired,married,primary,no,3738,no,no,telephone,10,aug,151,3,185,1,failure,No
40774,40774,70,blue-collar,married,primary,no,3075,no,no,telephone,10,aug,74,1,-1,0,unknown,No
40785,40785,68,unknown,married,unknown,no,4092,no,no,telephone,11,aug,329,1,-1,0,unknown,No
40792,40792,73,management,married,secondary,no,683,no,no,telephone,11,aug,181,1,-1,0,unknown,No
40816,40816,78,retired,divorced,secondary,no,631,no,no,telephone,11,aug,95,1,-1,0,unknown,No
40838,40838,81,retired,married,primary,no,0,no,no,telephone,11,aug,198,1,-1,0,unknown,No
40845,40845,70,retired,married,unknown,no,4290,no,no,telephone,11,aug,172,2,-1,0,unknown,No
40852,40852,66,entrepreneur,married,primary,no,0,no,no,telephone,12,aug,701,1,-1,0,unknown,No
40896,40896,82,retired,married,secondary,no,0,no,no,telephone,12,aug,150,2,-1,0,unknown,No
40901,40901,64,blue-collar,married,primary,no,1904,no,no,telephone,12,aug,67,2,-1,0,unknown,No
40915,40915,69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,unknown,No
40947,40947,74,retired,married,primary,no,0,no,no,telephone,13,aug,562,2,-1,0,unknown,Yes
40993,40993,66,housemaid,divorced,primary,no,204,no,no,telephone,13,aug,213,1,-1,0,unknown,No
41037,41037,67,retired,married,primary,no,10776,no,no,telephone,14,aug,176,2,99,17,other,No
41101,41101,82,retired,married,secondary,no,276,no,no,telephone,17,aug,199,1,-1,0,unknown,Yes
41120,41120,67,retired,married,unknown,no,696,no,no,telephone,17,aug,119,1,105,2,failure,No
41156,41156,67,retired,married,unknown,no,6320,no,no,telephone,19,aug,578,2,-1,0,unknown,No
41162,41162,89,retired,married,tertiary,no,553,no,no,telephone,19,aug,2027,5,-1,0,unknown,No
41171,41171,76,retired,married,tertiary,no,0,no,no,telephone,19,aug,170,1,-1,0,unknown,No
41183,41183,74,retired,married,primary,no,10253,no,no,telephone,20,aug,84,1,-1,0,unknown,No
41197,41197,73,retired,married,unknown,no,519,no,no,telephone,20,aug,91,1,-1,0,unknown,No
41257,41257,77,retired,married,primary,no,680,no,no,telephone,25,aug,103,3,-1,0,unknown,No
41268,41268,64,housemaid,married,primary,no,67,no,no,telephone,25,aug,153,1,-1,0,unknown,No
41283,41283,63,housemaid,married,primary,no,91,no,no,telephone,26,aug,128,3,-1,0,unknown,Yes
41286,41286,70,retired,married,secondary,no,1853,no,no,telephone,26,aug,314,1,-1,0,unknown,Yes
41290,41290,84,retired,married,primary,no,1702,no,no,telephone,26,aug,185,1,-1,0,unknown,No
41291,41291,86,retired,divorced,primary,no,0,no,no,telephone,26,aug,189,1,-1,0,unknown,Yes
41331,41331,72,retired,divorced,primary,no,0,no,no,telephone,28,aug,359,1,-1,0,unknown,No
41339,41339,62,retired,married,secondary,no,13,no,no,telephone,28,aug,36,1,-1,0,unknown,No
41352,41352,73,retired,married,secondary,no,250,no,no,telephone,31,aug,245,4,-1,0,unknown,No
41376,41376,74,retired,married,primary,no,2894,no,no,telephone,1,sep,97,5,204,2,other,No
41385,41385,63,entrepreneur,married,primary,no,2287,no,no,telephone,1,sep,490,1,-1,0,unknown,No
41405,41405,71,retired,married,tertiary,no,653,no,no,telephone,3,sep,471,1,189,1,success,Yes
41406,41406,83,retired,divorced,primary,no,0,no,no,telephone,3,sep,225,1,-1,0,unknown,No
41420,41420,69,retired,divorced,secondary,no,6850,no,no,telephone,3,sep,2055,1,-1,0,unknown,No
41432,41432,69,retired,married,secondary,no,148,no,no,telephone,4,sep,101,1,-1,0,unknown,No
41439,41439,73,retired,married,unknown,no,3443,no,no,telephone,4,sep,770,3,-1,0,unknown,Yes
41448,41448,74,retired,married,primary,no,0,no,no,telephone,4,sep,113,1,-1,0,unknown,No
41451,41451,64,retired,married,tertiary,no,1644,no,no,telephone,7,sep,569,4,-1,0,unknown,Yes
41454,41454,72,retired,married,secondary,no,6253,no,no,telephone,7,sep,456,1,-1,0,unknown,No
41457,41457,62,unknown,married,secondary,no,367,no,no,telephone,7,sep,221,1,189,5,failure,No
41461,41461,64,unknown,married,unknown,no,2280,no,no,telephone,7,sep,289,1,-1,0,unknown,No
41470,41470,86,retired,divorced,unknown,no,157,no,no,telephone,7,sep,147,1,-1,0,unknown,No
41506,41506,79,retired,married,secondary,no,723,no,no,telephone,9,sep,276,1,79,3,failure,Yes
41516,41516,81,retired,divorced,primary,no,519,no,no,telephone,9,sep,488,1,-1,0,unknown,No
41520,41520,69,retired,married,secondary,no,745,no,no,telephone,9,sep,595,1,-1,0,unknown,No
41523,41523,62,retired,married,secondary,no,495,no,yes,telephone,9,sep,494,2,-1,0,unknown,No
41524,41524,82,unknown,divorced,unknown,no,0,no,no,telephone,9,sep,277,5,-1,0,unknown,No
41526,41526,70,retired,single,primary,no,0,no,no,telephone,9,sep,145,1,-1,0,unknown,No
41561,41561,74,retired,married,primary,no,1765,no,no,telephone,11,sep,290,2,-1,0,unknown,Yes
41594,41594,76,retired,married,secondary,no,242,no,no,telephone,16,sep,994,3,-1,0,unknown,No
41610,41610,83,retired,married,primary,no,425,no,no,telephone,22,sep,773,1,92,2,success,Yes
41654,41654,84,entrepreneur,married,secondary,no,0,no,no,telephone,30,sep,992,2,-1,0,unknown,Yes
41663,41663,95,retired,married,secondary,no,0,no,no,telephone,1,oct,215,1,-1,0,unknown,No
41666,41666,63,housemaid,married,primary,no,333,no,no,telephone,1,oct,321,1,-1,0,unknown,No
41676,41676,70,retired,married,tertiary,no,15834,no,no,telephone,1,oct,90,1,-1,0,unknown,No
41708,41708,77,retired,married,primary,no,121,no,no,telephone,7,oct,191,1,-1,0,unknown,No
41716,41716,63,retired,married,secondary,no,0,no,no,telephone,7,oct,73,2,-1,0,unknown,No
41719,41719,70,retired,divorced,secondary,no,3104,no,no,telephone,7,oct,88,1,-1,0,unknown,No
41733,41733,78,retired,divorced,unknown,no,0,no,no,telephone,8,oct,259,1,-1,0,unknown,No
41758,41758,77,retired,married,primary,no,989,no,no,telephone,12,oct,95,2,-1,0,unknown,No
41759,41759,67,retired,married,primary,no,1430,no,no,telephone,12,oct,88,3,-1,0,unknown,No
41768,41768,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,No
41779,41779,74,retired,married,tertiary,no,1124,no,no,telephone,13,oct,200,2,-1,0,unknown,No
41789,41789,83,retired,single,primary,no,1965,no,no,telephone,13,oct,1003,3,-1,0,unknown,Yes
41792,41792,76,retired,married,primary,no,163,no,no,telephone,13,oct,120,1,-1,0,unknown,No
41809,41809,66,housemaid,married,primary,no,40,no,no,telephone,14,oct,290,2,-1,0,unknown,Yes
41816,41816,62,retired,married,primary,no,0,no,no,telephone,15,oct,280,1,-1,0,unknown,No
41819,41819,81,retired,divorced,primary,no,0,no,no,telephone,15,oct,172,1,-1,0,unknown,No
41822,41822,80,retired,married,secondary,no,2,no,no,telephone,15,oct,442,1,-1,0,unknown,No
41837,41837,74,retired,married,primary,no,279,no,no,telephone,15,oct,227,1,-1,0,unknown,No
41841,41841,75,retired,married,secondary,no,3771,no,no,telephone,16,oct,186,1,183,1,failure,Yes
41843,41843,83,retired,divorced,primary,no,2619,no,no,telephone,16,oct,181,2,-1,0,unknown,No
41855,41855,81,retired,divorced,unknown,no,0,no,no,telephone,16,oct,128,1,-1,0,unknown,No
41858,41858,73,retired,married,unknown,no,519,no,no,telephone,16,oct,434,1,57,1,failure,Yes
41880,41880,80,management,married,primary,no,6483,no,no,telephone,19,oct,123,1,-1,0,unknown,No
41885,41885,76,housemaid,divorced,primary,no,1411,no,no,telephone,19,oct,233,2,187,3,success,Yes
41895,41895,63,retired,married,primary,no,12067,no,no,telephone,20,oct,2187,1,-1,0,unknown,No
41902,41902,72,retired,married,primary,no,1388,no,no,telephone,20,oct,513,1,-1,0,unknown,Yes
41903,41903,77,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,1,-1,0,unknown,Yes
41918,41918,74,retired,married,tertiary,no,4912,no,no,telephone,21,oct,129,3,-1,0,unknown,No
41923,41923,87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,1,-1,0,unknown,Yes
41946,41946,78,retired,married,unknown,no,4807,no,no,telephone,22,oct,1002,4,-1,0,unknown,Yes
41949,41949,78,retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,Yes
41969,41969,76,retired,married,secondary,no,4112,no,no,telephone,23,oct,282,2,-1,0,unknown,Yes
41996,41996,66,retired,married,primary,no,747,no,no,telephone,27,oct,515,1,-1,0,unknown,No
42001,42001,80,retired,married,secondary,no,87,no,no,telephone,27,oct,219,2,-1,0,unknown,No
