,species,body_mass_g
0,Adelie,3750.0
1,Adelie,3800.0
2,Adelie,3250.0
3,Adelie,
4,Adelie,3450.0
5,Adelie,3650.0
6,Adelie,3625.0
7,Adelie,4675.0
8,Adelie,3475.0
9,Adelie,4250.0
10,Adelie,3300.0
11,Adelie,3700.0
12,Adelie,3200.0
13,Adelie,3800.0
14,Adelie,4400.0
15,Adelie,3700.0
16,Adelie,3450.0
17,Adelie,4500.0
18,Adelie,3325.0
19,Adelie,4200.0
20,Adelie,3400.0
21,Adelie,3600.0
22,Adelie,3800.0
23,Adelie,3950.0
24,Adelie,3800.0
25,Adelie,3800.0
26,Adelie,3550.0
27,Adelie,3200.0
28,Adelie,3150.0
29,Adelie,3950.0
30,Adelie,3250.0
31,Adelie,3900.0
32,Adelie,3300.0
33,Adelie,3900.0
34,Adelie,3325.0
35,Adelie,4150.0
36,Adelie,3950.0
37,Adelie,3550.0
38,Adelie,3300.0
39,Adelie,4650.0
40,Adelie,3150.0
41,Adelie,3900.0
42,Adelie,3100.0
43,Adelie,4400.0
44,Adelie,3000.0
45,Adelie,4600.0
46,Adelie,3425.0
47,Adelie,2975.0
48,Adelie,3450.0
49,Adelie,4150.0
50,Adelie,3500.0
51,Adelie,4300.0
52,Adelie,3450.0
53,Adelie,4050.0
54,Adelie,2900.0
55,Adelie,3700.0
56,Adelie,3550.0
57,Adelie,3800.0
58,Adelie,2850.0
59,Adelie,3750.0
60,Adelie,3150.0
61,Adelie,4400.0
62,Adelie,3600.0
63,Adelie,4050.0
64,Adelie,2850.0
65,Adelie,3950.0
66,Adelie,3350.0
67,Adelie,4100.0
68,Adelie,3050.0
69,Adelie,4450.0
70,Adelie,3600.0
71,Adelie,3900.0
72,Adelie,3550.0
73,Adelie,4150.0
74,Adelie,3700.0
75,Adelie,4250.0
76,Adelie,3700.0
77,Adelie,3900.0
78,Adelie,3550.0
79,Adelie,4000.0
80,Adelie,3200.0
81,Adelie,4700.0
82,Adelie,3800.0
83,Adelie,4200.0
84,Adelie,3350.0
85,Adelie,3550.0
86,Adelie,3800.0
87,Adelie,3500.0
88,Adelie,3950.0
89,Adelie,3600.0
90,Adelie,3550.0
91,Adelie,4300.0
92,Adelie,3400.0
93,Adelie,4450.0
94,Adelie,3300.0
95,Adelie,4300.0
96,Adelie,3700.0
97,Adelie,4350.0
98,Adelie,2900.0
99,Adelie,4100.0
100,Adelie,3725.0
101,Adelie,4725.0
102,Adelie,3075.0
103,Adelie,4250.0
104,Adelie,2925.0
105,Adelie,3550.0
106,Adelie,3750.0
107,Adelie,3900.0
108,Adelie,3175.0
109,Adelie,4775.0
110,Adelie,3825.0
111,Adelie,4600.0
112,Adelie,3200.0
113,Adelie,4275.0
114,Adelie,3900.0
115,Adelie,4075.0
116,Adelie,2900.0
117,Adelie,3775.0
118,Adelie,3350.0
119,Adelie,3325.0
120,Adelie,3150.0
121,Adelie,3500.0
122,Adelie,3450.0
123,Adelie,3875.0
124,Adelie,3050.0
125,Adelie,4000.0
126,Adelie,3275.0
127,Adelie,4300.0
128,Adelie,3050.0
129,Adelie,4000.0
130,Adelie,3325.0
131,Adelie,3500.0
132,Adelie,3500.0
133,Adelie,4475.0
134,Adelie,3425.0
135,Adelie,3900.0
136,Adelie,3175.0
137,Adelie,3975.0
138,Adelie,3400.0
139,Adelie,4250.0
140,Adelie,3400.0
141,Adelie,3475.0
142,Adelie,3050.0
143,Adelie,3725.0
144,Adelie,3000.0
145,Adelie,3650.0
146,Adelie,4250.0
147,Adelie,3475.0
148,Adelie,3450.0
149,Adelie,3750.0
150,Adelie,3700.0
151,Adelie,4000.0
152,Gentoo,4500.0
153,Gentoo,5700.0
154,Gentoo,4450.0
155,Gentoo,5700.0
156,Gentoo,5400.0
157,Gentoo,4550.0
158,Gentoo,4800.0
159,Gentoo,5200.0
160,Gentoo,4400.0
161,Gentoo,5150.0
162,Gentoo,4650.0
163,Gentoo,5550.0
164,Gentoo,4650.0
165,Gentoo,5850.0
166,Gentoo,4200.0
167,Gentoo,5850.0
168,Gentoo,4150.0
169,Gentoo,6300.0
170,Gentoo,4800.0
171,Gentoo,5350.0
172,Gentoo,5700.0
173,Gentoo,5000.0
174,Gentoo,4400.0
175,Gentoo,5050.0
176,Gentoo,5000.0
177,Gentoo,5100.0
178,Gentoo,4100.0
179,Gentoo,5650.0
180,Gentoo,4600.0
181,Gentoo,5550.0
182,Gentoo,5250.0
183,Gentoo,4700.0
184,Gentoo,5050.0
185,Gentoo,6050.0
186,Gentoo,5150.0
187,Gentoo,5400.0
188,Gentoo,4950.0
189,Gentoo,5250.0
190,Gentoo,4350.0
191,Gentoo,5350.0
192,Gentoo,3950.0
193,Gentoo,5700.0
194,Gentoo,4300.0
195,Gentoo,4750.0
196,Gentoo,5550.0
197,Gentoo,4900.0
198,Gentoo,4200.0
199,Gentoo,5400.0
200,Gentoo,5100.0
201,Gentoo,5300.0
202,Gentoo,4850.0
203,Gentoo,5300.0
204,Gentoo,4400.0
205,Gentoo,5000.0
206,Gentoo,4900.0
207,Gentoo,5050.0
208,Gentoo,4300.0
209,Gentoo,5000.0
210,Gentoo,4450.0
211,Gentoo,5550.0
212,Gentoo,4200.0
213,Gentoo,5300.0
214,Gentoo,4400.0
215,Gentoo,5650.0
216,Gentoo,4700.0
217,Gentoo,5700.0
218,Gentoo,4650.0
219,Gentoo,5800.0
220,Gentoo,4700.0
221,Gentoo,5550.0
222,Gentoo,4750.0
223,Gentoo,5000.0
224,Gentoo,5100.0
225,Gentoo,5200.0
226,Gentoo,4700.0
227,Gentoo,5800.0
228,Gentoo,4600.0
229,Gentoo,6000.0
230,Gentoo,4750.0
231,Gentoo,5950.0
232,Gentoo,4625.0
233,Gentoo,5450.0
234,Gentoo,4725.0
235,Gentoo,5350.0
236,Gentoo,4750.0
237,Gentoo,5600.0
238,Gentoo,4600.0
239,Gentoo,5300.0
240,Gentoo,4875.0
241,Gentoo,5550.0
242,Gentoo,4950.0
243,Gentoo,5400.0
244,Gentoo,4750.0
245,Gentoo,5650.0
246,Gentoo,4850.0
247,Gentoo,5200.0
248,Gentoo,4925.0
249,Gentoo,4875.0
250,Gentoo,4625.0
251,Gentoo,5250.0
252,Gentoo,4850.0
253,Gentoo,5600.0
254,Gentoo,4975.0
255,Gentoo,5500.0
256,Gentoo,4725.0
257,Gentoo,5500.0
258,Gentoo,4700.0
259,Gentoo,5500.0
260,Gentoo,4575.0
261,Gentoo,5500.0
262,Gentoo,5000.0
263,Gentoo,5950.0
264,Gentoo,4650.0
265,Gentoo,5500.0
266,Gentoo,4375.0
267,Gentoo,5850.0
268,Gentoo,4875.0
269,Gentoo,6000.0
270,Gentoo,4925.0
271,Gentoo,
272,Gentoo,4850.0
273,Gentoo,5750.0
274,Gentoo,5200.0
275,Gentoo,5400.0
276,Chinstrap,3500.0
277,Chinstrap,3900.0
278,Chinstrap,3650.0
279,Chinstrap,3525.0
280,Chinstrap,3725.0
281,Chinstrap,3950.0
282,Chinstrap,3250.0
283,Chinstrap,3750.0
284,Chinstrap,4150.0
285,Chinstrap,3700.0
286,Chinstrap,3800.0
287,Chinstrap,3775.0
288,Chinstrap,3700.0
289,Chinstrap,4050.0
290,Chinstrap,3575.0
291,Chinstrap,4050.0
292,Chinstrap,3300.0
293,Chinstrap,3700.0
294,Chinstrap,3450.0
295,Chinstrap,4400.0
296,Chinstrap,3600.0
297,Chinstrap,3400.0
298,Chinstrap,2900.0
299,Chinstrap,3800.0
300,Chinstrap,3300.0
301,Chinstrap,4150.0
302,Chinstrap,3400.0
303,Chinstrap,3800.0
304,Chinstrap,3700.0
305,Chinstrap,4550.0
306,Chinstrap,3200.0
307,Chinstrap,4300.0
308,Chinstrap,3350.0
309,Chinstrap,4100.0
310,Chinstrap,3600.0
311,Chinstrap,3900.0
312,Chinstrap,3850.0
313,Chinstrap,4800.0
314,Chinstrap,2700.0
315,Chinstrap,4500.0
316,Chinstrap,3950.0
317,Chinstrap,3650.0
318,Chinstrap,3550.0
319,Chinstrap,3500.0
320,Chinstrap,3675.0
321,Chinstrap,4450.0
322,Chinstrap,3400.0
323,Chinstrap,4300.0
324,Chinstrap,3250.0
325,Chinstrap,3675.0
326,Chinstrap,3325.0
327,Chinstrap,3950.0
328,Chinstrap,3600.0
329,Chinstrap,4050.0
330,Chinstrap,3350.0
331,Chinstrap,3450.0
332,Chinstrap,3250.0
333,Chinstrap,4050.0
334,Chinstrap,3800.0
335,Chinstrap,3525.0
336,Chinstrap,3950.0
337,Chinstrap,3650.0
338,Chinstrap,3650.0
339,Chinstrap,4000.0
340,Chinstrap,3400.0
341,Chinstrap,3775.0
342,Chinstrap,4100.0
343,Chinstrap,3775.0
